iter	Passed	Remaining
0	1	154
1	2	138
2	4	133
3	5	125
4	6	123
5	7	120
6	8	118
7	10	117
8	11	116
9	12	115
10	14	114
11	15	114
12	16	112
13	18	111
14	19	110
15	20	109
16	22	107
17	23	106
18	24	105
19	25	103
20	27	102
21	28	100
22	29	99
23	30	97
24	32	96
25	33	94
26	34	93
27	35	91
28	36	90
29	38	88
30	39	87
31	40	86
32	41	84
33	43	83
34	44	82
35	45	81
36	46	79
37	48	78
38	49	77
39	50	75
40	51	74
41	52	72
42	53	70
43	54	69
44	55	68
45	57	67
46	58	65
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	58
53	67	57
54	67	55
55	69	54
56	70	53
57	71	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	79	43
65	81	41
66	82	40
67	83	39
68	84	38
69	86	36
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	110	13
89	111	12
90	112	11
91	113	9
92	115	8
93	116	7
94	118	6
95	119	4
96	120	3
97	122	2
98	123	1
99	125	0
